Bias, Current, error
-1.25217,-4.65473,0.01883
-1.24817,-4.65351,0.01956
-1.24417,-4.65192,0.02019
-1.24017,-4.65026,0.02099
-1.23617,-4.64845,0.02171
-1.23217,-4.64654,0.02248
-1.22817,-4.64437,0.02334
-1.22417,-4.64153,0.02418
-1.22017,-4.63894,0.02503
-1.21617,-4.63558,0.026
-1.21217,-4.63118,0.02694
-1.20817,-4.62813,0.0279
-1.20417,-4.62417,0.02892
-1.20017,-4.62016,0.02988
-1.19617,-4.61614,0.03074
-1.19217,-4.61175,0.0317
-1.18817,-4.60694,0.03279
-1.18417,-4.60214,0.03375
-1.18017,-4.59768,0.03472
-1.17617,-4.59306,0.03567
-1.17217,-4.5877,0.03679
-1.16817,-4.58213,0.03791
-1.16417,-4.57602,0.039
-1.16017,-4.57089,0.04017
-1.15617,-4.56479,0.04142
-1.15217,-4.5581,0.04257
-1.14817,-4.55188,0.04363
-1.14417,-4.54512,0.04474
-1.14017,-4.53848,0.04589
-1.13617,-4.53174,0.04705
-1.13217,-4.52297,0.04856
-1.12817,-4.51536,0.05006
-1.12417,-4.50682,0.05152
-1.12017,-4.49783,0.05312
-1.11617,-4.48835,0.05474
-1.11217,-4.47742,0.05645
-1.10817,-4.4666,0.05818
-1.10417,-4.45454,0.06014
-1.10017,-4.44356,0.06185
-1.09617,-4.43226,0.0635
-1.09217,-4.42017,0.06511
-1.08817,-4.40814,0.06688
-1.08417,-4.39651,0.06864
-1.08017,-4.38432,0.07043
-1.07617,-4.37197,0.07218
-1.07217,-4.35953,0.07397
-1.06817,-4.34767,0.07575
-1.06417,-4.33528,0.07755
-1.06017,-4.32238,0.07934
-1.05617,-4.31004,0.081
-1.05217,-4.297,0.08267
-1.04817,-4.28336,0.08446
-1.04417,-4.2691,0.08622
-1.04017,-4.25467,0.08794
-1.03617,-4.24048,0.08977
-1.03217,-4.22543,0.09165
-1.02817,-4.21057,0.09342
-1.02417,-4.19582,0.09529
-1.02017,-4.18164,0.09709
-1.01617,-4.16623,0.09876
-1.01217,-4.15036,0.10053
-1.00817,-4.13427,0.10233
-1.00417,-4.11827,0.10391
-1.00017,-4.10089,0.10565
-0.99617,-4.08283,0.10744
-0.99217,-4.06474,0.1092
