Bias,Current,error
-1.25217,-3.49406,0.13691
-1.24817,-3.48242,0.13747
-1.24417,-3.47159,0.13802
-1.24017,-3.46011,0.13864
-1.23617,-3.44922,0.13923
-1.23217,-3.43884,0.1397
-1.22817,-3.43091,0.13999
-1.22417,-3.42026,0.14037
-1.22017,-3.40626,0.14086
-1.21617,-3.39372,0.14126
-1.21217,-3.38343,0.14156
-1.20817,-3.36931,0.14194
-1.20417,-3.35527,0.1423
-1.20017,-3.34209,0.14264
-1.19617,-3.32975,0.14302
-1.19217,-3.31808,0.14343
-1.18817,-3.30559,0.14388
-1.18417,-3.29313,0.14445
-1.18017,-3.28106,0.1449
-1.17617,-3.26868,0.1454
-1.17217,-3.25718,0.1458
-1.16817,-3.24562,0.14615
-1.16417,-3.23549,0.1466
-1.16017,-3.22434,0.147
-1.15617,-3.21455,0.14741
-1.15217,-3.20397,0.14791
-1.14817,-3.19367,0.14841
-1.14417,-3.18292,0.14892
-1.14017,-3.1727,0.14939
-1.13617,-3.1631,0.14986
-1.13217,-3.15257,0.15026
-1.12817,-3.1438,0.15047
-1.12417,-3.13489,0.15079
-1.12017,-3.12604,0.15104
-1.11617,-3.11564,0.1515
-1.11217,-3.10801,0.15184
-1.10817,-3.09938,0.15231
-1.10417,-3.08893,0.15271
-1.10017,-3.07815,0.15303
-1.09617,-3.06908,0.15339
-1.09217,-3.06014,0.15372
-1.08817,-3.05042,0.15394
-1.08417,-3.0394,0.15411
-1.08017,-3.02647,0.15433
-1.07617,-3.0126,0.15455
-1.07217,-2.99903,0.15487
-1.06817,-2.98611,0.15507
-1.06417,-2.97291,0.15533
-1.06017,-2.95947,0.15559
-1.05617,-2.94701,0.15575
-1.05217,-2.93227,0.15576
-1.04817,-2.91547,0.15561
-1.04417,-2.89952,0.15556
-1.04017,-2.88326,0.15546
-1.03617,-2.8682,0.15539
-1.03217,-2.85395,0.15538
-1.02817,-2.84079,0.15541
-1.02417,-2.82755,0.15543
-1.02017,-2.81621,0.15545
-1.01617,-2.80311,0.15542
-1.01217,-2.79059,0.15544
-1.00817,-2.77714,0.15541
-1.00417,-2.76245,0.15525
-1.00017,-2.74801,0.1552
-0.99617,-2.73318,0.15513
-0.99217,-2.7185,0.155
-0.98817,-2.70433,0.15501
-0.98417,-2.69181,0.15499
-0.98017,-2.67856,0.15483
-0.97617,-2.665,0.15467
-0.97217,-2.65106,0.15461
-0.96817,-2.63827,0.15462
-0.96417,-2.62655,0.15474
-0.96017,-2.61414,0.15467
-0.95617,-2.60201,0.15461
-0.95217,-2.58979,0.15446
-0.94817,-2.57719,0.15436
-0.94417,-2.56316,0.15425
-0.94017,-2.55038,0.15429
-0.93617,-2.53752,0.15426
-0.93217,-2.52493,0.15414
-0.92817,-2.51361,0.15407
-0.92417,-2.50268,0.15393
-0.92017,-2.49109,0.15371
-0.91617,-2.47989,0.15353
-0.91217,-2.46789,0.15328
-0.90817,-2.45585,0.15302
-0.90417,-2.44258,0.1527
-0.90017,-2.42854,0.15238
-0.89617,-2.414,0.15202
-0.89217,-2.39952,0.15165
-0.88817,-2.38441,0.15128
-0.88417,-2.36964,0.15096
-0.88017,-2.35393,0.15062
-0.87617,-2.33828,0.15024
-0.87217,-2.3301,0.15044
-0.86817,-2.32553,0.15119
-0.86417,-2.3172,0.15155
-0.86017,-2.30639,0.15156
-0.85617,-2.29408,0.15144
-0.85217,-2.28128,0.15125
-0.84817,-2.26834,0.15114
-0.84417,-2.25676,0.15112
-0.84017,-2.24484,0.15123
-0.83617,-2.23388,0.15142
-0.83217,-2.22093,0.15126
-0.82817,-2.20844,0.15115
